SNRdb,Empirical Variance,Mean of Estimates
-10.0,193633793604.1603,300162.5366191579
-8.979591836734693,210383070560.07654,317896.7218922812
-7.959183673469388,210495116699.89212,338934.0759873253
-6.938775510204081,176839801346.36426,391489.76844091667
-5.918367346938775,153774309907.54794,345085.1416595969
-4.8979591836734695,138597767736.25616,433749.53426623775
-3.8775510204081627,106885853436.39034,503248.0653798819
-2.8571428571428568,105838618818.91006,513526.00921906513
-1.8367346938775508,96052105605.60735,511532.5150751439
-0.816326530612244,84604159829.20284,534824.1378853434
0.204081632653061,70580432898.82584,537199.4057675627
1.2244897959183678,54063340398.68109,583987.4204345732
2.2448979591836746,40918513964.20228,610386.8177104146
3.2653061224489797,30642939794.050762,594542.02975353
4.2857142857142865,18388542283.740856,621801.1087340943
5.3061224489795915,16549829990.761896,630768.1988942926
6.326530612244898,11810936892.90692,635271.7975902059
7.346938775510203,9314800957.736675,640017.04014018
8.367346938775512,7914042539.232497,622374.5334277471
9.387755102040817,5312199589.327394,636615.4985330203
10.408163265306122,4617841952.25833,619058.39766955
11.42857142857143,3449516339.0144043,626176.8881301301
12.448979591836736,2498160566.185927,627480.9300420951
13.46938775510204,1977995572.3273208,628397.4432095415
14.48979591836735,1691387398.8332708,632566.0803045139
15.510204081632654,1414220609.1058009,625847.0185977725
16.53061224489796,845317096.8118565,626018.8088421024
17.551020408163264,824233156.4550071,627853.0274363618
18.571428571428573,553923842.7262692,628944.1497760584
19.591836734693878,584243585.0509022,628519.8919220888
20.612244897959183,408197366.0893581,629486.8858281346
21.63265306122449,318885764.6775688,627664.2866707623
22.653061224489797,220458019.12018886,626447.0375872293
23.673469387755105,244092292.77346307,627421.1038088361
24.693877551020407,148642473.92920887,629695.4111031635
25.714285714285715,121374633.5791085,628637.5527508506
26.734693877551024,109917635.2400285,628231.007902264
27.755102040816325,86104780.30126837,628440.4873613
28.775510204081634,65817999.2382449,628597.3625676401
29.795918367346943,41917877.398242384,628209.9111568526
30.816326530612244,33065776.419093274,628242.5935661136
31.836734693877553,26732429.471185196,628310.8834834727
32.85714285714286,23446877.34284775,628053.253100678
33.87755102040816,20345381.30271141,627732.7028995514
34.89795918367347,13453424.39940801,627861.7901586074
35.91836734693878,10992420.248670304,628394.1176163324
36.93877551020408,9469674.862764115,628034.8837336311
37.95918367346939,7751874.192483254,628272.5331901498
38.9795918367347,4804696.166125454,628375.920763561
40.0,3897032.182682556,628305.5413547087
